GeoFips,GeoName,2020,2021
25000,Massachusetts,78388,83653
25001,"Barnstable, MA",79136,83191
25003,"Berkshire, MA",61586,65050
25005,"Bristol, MA",61116,64924
25007,"Dukes, MA",81631,86341
25009,"Essex, MA",73101,78093
25011,"Franklin, MA",60297,63366
25013,"Hampden, MA",58071,61522
25015,"Hampshire, MA",58133,60717
25017,"Middlesex, MA",92013,98523
25019,"Nantucket, MA",93793,101902
25021,"Norfolk, MA",97787,104059
25023,"Plymouth, MA",75025,79817
25025,"Suffolk, MA",90941,98644
25027,"Worcester, MA",61577,65793