Area,Year,Month,Labor Force,Employed,Unemployed,Area Rate,Massachusetts Rate
Newton,2023,January,48101,46681,1420,3.0,4.1
Newton,2023,February,48038,46661,1377,2.9,4.2
Newton,2023,March,47871,46632,1239,2.6,3.9
Newton,2023,April,47871,46993,878,1.8,2.4
Newton,2023,May,47424,46522,902,1.9,2.3
Newton,2023,June,48192,46973,1219,2.5,2.8
Newton,2023,July,48240,47066,1174,2.4,2.9
Newton,2023,August,48273,47071,1202,2.5,2.9
Newton,2023,September,47707,46635,1072,2.2,2.5
Newton,2023,October,48158,47026,1132,2.4,2.6
Newton,2022,January,47545,46145,1400,2.9,4.6
Newton,2022,February,47634,46449,1185,2.5,4.3
Newton,2022,March,47879,46702,1177,2.5,3.9
Newton,2022,April,47441,46329,1112,2.3,3.5
Newton,2022,May,47479,46188,1291,2.7,3.6
Newton,2022,June,48072,46548,1524,3.2,3.9
Newton,2022,July,48128,46657,1471,3.1,3.9
Newton,2022,August,48167,46679,1488,3.1,3.9
Newton,2022,September,47413,46052,1361,2.9,3.5
Newton,2022,October,47798,46455,1343,2.8,3.4
Newton,2022,November,47623,46409,1214,2.5,3.3
Newton,2022,December,47537,46363,1174,2.5,3.3
Newton,2022,Annual,47727,46415,1312,2.7,3.8
Newton,2021,January,46800,44251,2549,5.4,7.7
Newton,2021,February,46674,44524,2150,4.6,7.2
Newton,2021,March,46864,44874,1990,4.2,6.7
Newton,2021,April,46698,44929,1769,3.8,6.0
Newton,2021,May,46642,44902,1740,3.7,5.7
Newton,2021,June,47351,45317,2034,4.3,6.1
Newton,2021,July,47712,45633,2079,4.4,5.7
Newton,2021,August,47601,45827,1774,3.7,5.2
Newton,2021,September,46959,45355,1604,3.4,4.7
Newton,2021,October,47477,45910,1567,3.3,4.2
Newton,2021,November,47743,46399,1344,2.8,3.8
Newton,2021,December,47493,46276,1217,2.6,3.6
Newton,2021,Annual,47168,45350,1818,3.9,5.5
Newton,2020,January,48597,47508,1089,2.2,3.4
Newton,2020,February,48736,47734,1002,2.1,3.1
Newton,2020,March,47881,46901,980,2.0,3.4
Newton,2020,April,41293,37580,3713,9.0,16.5
Newton,2020,May,43880,39845,4035,9.2,15.6
Newton,2020,June,45863,41670,4193,9.1,14.4
Newton,2020,July,46681,42543,4138,8.9,12.9
Newton,2020,August,46889,43670,3219,6.9,10.3
Newton,2020,September,46599,43412,3187,6.8,9.9
Newton,2020,October,47885,44364,3521,7.4,8.2
Newton,2020,November,47680,44458,3222,6.8,7.7
Newton,2020,December,47189,44433,2756,5.8,7.5
Newton,2020,Annual,46598,43677,2921,6.3,9.4
Wellesley,2023,January,13521,13058,463,3.4,4.1
Wellesley,2023,February,13491,13053,438,3.2,4.2
Wellesley,2023,March,13444,13045,399,3.0,3.9
Wellesley,2023,April,13428,13146,282,2.1,2.4
Wellesley,2023,May,13311,13014,297,2.2,2.3
Wellesley,2023,June,13546,13140,406,3.0,2.8
Wellesley,2023,July,13541,13166,375,2.8,2.9
Wellesley,2023,August,13575,13168,407,3.0,2.9
Wellesley,2023,September,13395,13045,350,2.6,2.5
Wellesley,2023,October,13507,13155,352,2.6,2.6
Wellesley,2022,January,13316,12908,408,3.1,4.6
Wellesley,2022,February,13341,12994,347,2.6,4.3
Wellesley,2022,March,13417,13064,353,2.6,3.9
Wellesley,2022,April,13314,12960,354,2.7,3.5
Wellesley,2022,May,13316,12920,396,3.0,3.6
Wellesley,2022,June,13490,13021,469,3.5,3.9
Wellesley,2022,July,13492,13052,440,3.3,3.9
Wellesley,2022,August,13493,13058,435,3.2,3.9
Wellesley,2022,September,13277,12882,395,3.0,3.5
Wellesley,2022,October,13399,12995,404,3.0,3.4
Wellesley,2022,November,13348,12982,366,2.7,3.3
Wellesley,2022,December,13304,12969,335,2.5,3.3
Wellesley,2022,Annual,13376,12984,392,2.9,3.8
Wellesley,2021,January,13084,12379,705,5.4,7.7
Wellesley,2021,February,13091,12455,636,4.9,7.2
Wellesley,2021,March,13134,12553,581,4.4,6.7
Wellesley,2021,April,13087,12568,519,4.0,6.0
Wellesley,2021,May,13097,12561,536,4.1,5.7
Wellesley,2021,June,13290,12677,613,4.6,6.1
Wellesley,2021,July,13366,12765,601,4.5,5.7
Wellesley,2021,August,13325,12820,505,3.8,5.2
Wellesley,2021,September,13165,12687,478,3.6,4.7
Wellesley,2021,October,13306,12843,463,3.5,4.2
Wellesley,2021,November,13397,12979,418,3.1,3.8
Wellesley,2021,December,13297,12945,352,2.6,3.6
Wellesley,2021,Annual,13220,12686,534,4.0,5.5
Wellesley,2020,January,13618,13290,328,2.4,3.4
Wellesley,2020,February,13647,13353,294,2.2,3.1
Wellesley,2020,March,13397,13120,277,2.1,3.4
Wellesley,2020,April,11260,10512,748,6.6,16.5
Wellesley,2020,May,11998,11146,852,7.1,15.6
Wellesley,2020,June,12614,11657,957,7.6,14.4
Wellesley,2020,July,12814,11901,913,7.1,12.9
Wellesley,2020,August,12951,12216,735,5.7,10.3
Wellesley,2020,September,12929,12144,785,6.1,9.9
Wellesley,2020,October,13435,12410,1025,7.6,8.2
Wellesley,2020,November,13355,12437,918,6.9,7.7
Wellesley,2020,December,13220,12429,791,6.0,7.5
Wellesley,2020,Annual,12937,12218,719,5.6,9.4
Chelsea,2023,January,20503,19634,869,4.2,4.1
Chelsea,2023,February,20476,19626,850,4.2,4.2
Chelsea,2023,March,20395,19614,781,3.8,3.9
Chelsea,2023,April,20234,19766,468,2.3,2.4
Chelsea,2023,May,20039,19568,471,2.4,2.3
Chelsea,2023,June,20360,19757,603,3.0,2.8
Chelsea,2023,July,20380,19796,584,2.9,2.9
Chelsea,2023,August,20377,19799,578,2.8,2.9
Chelsea,2023,September,20135,19615,520,2.6,2.5
Chelsea,2023,October,20322,19779,543,2.7,2.6
Chelsea,2022,January,20469,19409,1060,5.2,4.6
Chelsea,2022,February,20578,19537,1041,5.1,4.3
Chelsea,2022,March,20569,19643,926,4.5,3.9
Chelsea,2022,April,20281,19486,795,3.9,3.5
Chelsea,2022,May,20212,19427,785,3.9,3.6
Chelsea,2022,June,20428,19578,850,4.2,3.9
Chelsea,2022,July,20470,19624,846,4.1,3.9
Chelsea,2022,August,20467,19633,834,4.1,3.9
Chelsea,2022,September,20097,19370,727,3.6,3.5
Chelsea,2022,October,20236,19539,697,3.4,3.4
Chelsea,2022,November,20168,19520,648,3.2,3.3
Chelsea,2022,December,20144,19501,643,3.2,3.3
Chelsea,2022,Annual,20343,19522,821,4.0,3.8
Chelsea,2021,January,20586,18612,1974,9.6,7.7
Chelsea,2021,February,20577,18727,1850,9.0,7.2
Chelsea,2021,March,20532,18874,1658,8.1,6.7
Chelsea,2021,April,20384,18898,1486,7.3,6.0
Chelsea,2021,May,20376,18886,1490,7.3,5.7
Chelsea,2021,June,20680,19061,1619,7.8,6.1
Chelsea,2021,July,20598,19194,1404,6.8,5.7
Chelsea,2021,August,20539,19275,1264,6.2,5.2
Chelsea,2021,September,20244,19077,1167,5.8,4.7
Chelsea,2021,October,20278,19310,968,4.8,4.2
Chelsea,2021,November,20358,19516,842,4.1,3.8
Chelsea,2021,December,20305,19464,841,4.1,3.6
Chelsea,2021,Annual,20455,19075,1380,6.7,5.5
Chelsea,2020,January,20716,19982,734,3.5,3.4
Chelsea,2020,February,20749,20077,672,3.2,3.1
Chelsea,2020,March,20469,19727,742,3.6,3.4
Chelsea,2020,April,19960,15806,4154,20.8,16.5
Chelsea,2020,May,21234,16759,4475,21.1,15.6
Chelsea,2020,June,22075,17527,4548,20.6,14.4
Chelsea,2020,July,22039,17894,4145,18.8,12.9
Chelsea,2020,August,21768,18368,3400,15.6,10.3
Chelsea,2020,September,21437,18259,3178,14.8,9.9
Chelsea,2020,October,20917,18660,2257,10.8,8.2
Chelsea,2020,November,20701,18699,2002,9.7,7.7
Chelsea,2020,December,20720,18689,2031,9.8,7.5
Chelsea,2020,Annual,21066,18371,2695,12.8,9.4
Revere,2023,January,28865,27634,1231,4.3,4.1
Revere,2023,February,28836,27622,1214,4.2,4.2
Revere,2023,March,28725,27605,1120,3.9,3.9
Revere,2023,April,28494,27818,676,2.4,2.4
Revere,2023,May,28231,27540,691,2.4,2.3
Revere,2023,June,28670,27806,864,3.0,2.8
Revere,2023,July,28745,27861,884,3.1,2.9
Revere,2023,August,28715,27865,850,3.0,2.9
Revere,2023,September,28351,27606,745,2.6,2.5
Revere,2023,October,28616,27838,778,2.7,2.6
Revere,2022,January,28904,27316,1588,5.5,4.6
Revere,2022,February,28968,27496,1472,5.1,4.3
Revere,2022,March,28959,27646,1313,4.5,3.9
Revere,2022,April,28574,27425,1149,4.0,3.5
Revere,2022,May,28524,27342,1182,4.1,3.6
Revere,2022,June,28826,27555,1271,4.4,3.9
Revere,2022,July,28824,27620,1204,4.2,3.9
Revere,2022,August,28797,27632,1165,4.0,3.9
Revere,2022,September,28354,27261,1093,3.9,3.5
Revere,2022,October,28517,27500,1017,3.6,3.4
Revere,2022,November,28467,27473,994,3.5,3.3
Revere,2022,December,28449,27446,1003,3.5,3.3
Revere,2022,Annual,28680,27476,1204,4.2,3.8
Revere,2021,January,29266,26195,3071,10.5,7.7
Revere,2021,February,29196,26357,2839,9.7,7.2
Revere,2021,March,29100,26564,2536,8.7,6.7
Revere,2021,April,28777,26597,2180,7.6,6.0
Revere,2021,May,28627,26580,2047,7.2,5.7
Revere,2021,June,29085,26826,2259,7.8,6.1
Revere,2021,July,29042,27013,2029,7.0,5.7
Revere,2021,August,28908,27128,1780,6.2,5.2
Revere,2021,September,28496,26849,1647,5.8,4.7
Revere,2021,October,28559,27177,1382,4.8,4.2
Revere,2021,November,28672,27467,1205,4.2,3.8
Revere,2021,December,28570,27394,1176,4.1,3.6
Revere,2021,Annual,28859,26846,2013,7.0,5.5
Revere,2020,January,29145,28123,1022,3.5,3.4
Revere,2020,February,29153,28257,896,3.1,3.1
Revere,2020,March,28919,27764,1155,4.0,3.4
Revere,2020,April,29848,22246,7602,25.5,16.5
Revere,2020,May,31430,23587,7843,25.0,15.6
Revere,2020,June,32261,24667,7594,23.5,14.4
Revere,2020,July,31908,25184,6724,21.1,12.9
Revere,2020,August,31325,25851,5474,17.5,10.3
Revere,2020,September,30945,25698,5247,17.0,9.9
Revere,2020,October,29607,26262,3345,11.3,8.2
Revere,2020,November,29371,26318,3053,10.4,7.7
Revere,2020,December,29312,26303,3009,10.3,7.5
Revere,2020,Annual,30269,25855,4414,14.6,9.4
New Bedford,2023,January,47371,43986,3385,7.1,4.1
New Bedford,2023,February,47461,43841,3620,7.6,4.2
New Bedford,2023,March,46729,43508,3221,6.9,3.9
New Bedford,2023,April,45800,43925,1875,4.1,2.4
New Bedford,2023,May,45513,43924,1589,3.5,2.3
New Bedford,2023,June,46364,44477,1887,4.1,2.8
New Bedford,2023,July,46258,44218,2040,4.4,2.9
New Bedford,2023,August,46186,44131,2055,4.4,2.9
New Bedford,2023,September,45953,44149,1804,3.9,2.5
New Bedford,2023,October,46038,44226,1812,3.9,2.6
New Bedford,2022,January,47496,43601,3895,8.2,4.6
New Bedford,2022,February,47643,43833,3810,8.0,4.3
New Bedford,2022,March,47514,44171,3343,7.0,3.9
New Bedford,2022,April,46676,44091,2585,5.5,3.5
New Bedford,2022,May,46732,44171,2561,5.5,3.6
New Bedford,2022,June,47731,44932,2799,5.9,3.9
New Bedford,2022,July,47364,44612,2752,5.8,3.9
New Bedford,2022,August,47148,44346,2802,5.9,3.9
New Bedford,2022,September,46492,43965,2527,5.4,3.5
New Bedford,2022,October,46443,44043,2400,5.2,3.4
New Bedford,2022,November,46561,44043,2518,5.4,3.3
New Bedford,2022,December,46586,43955,2631,5.6,3.3
New Bedford,2022,Annual,47032,44147,2885,6.1,3.8
New Bedford,2021,January,47855,42377,5478,11.4,7.7
New Bedford,2021,February,47682,42367,5315,11.1,7.2
New Bedford,2021,March,47594,42658,4936,10.4,6.7
New Bedford,2021,April,47692,43387,4305,9.0,6.0
New Bedford,2021,May,47649,43652,3997,8.4,5.7
New Bedford,2021,June,48322,44076,4246,8.8,6.1
New Bedford,2021,July,47938,44015,3923,8.2,5.7
New Bedford,2021,August,47418,43773,3645,7.7,5.2
New Bedford,2021,September,47110,43853,3257,6.9,4.7
New Bedford,2021,October,47029,44072,2957,6.3,4.2
New Bedford,2021,November,47342,44522,2820,6.0,3.8
New Bedford,2021,December,47088,44201,2887,6.1,3.6
New Bedford,2021,Annual,47560,43579,3981,8.4,5.5
New Bedford,2020,January,48453,45409,3044,6.3,3.4
New Bedford,2020,February,48355,45520,2835,5.9,3.1
New Bedford,2020,March,47789,44942,2847,6.0,3.4
New Bedford,2020,April,45547,33727,11820,26.0,16.5
New Bedford,2020,May,48174,36823,11351,23.6,15.6
New Bedford,2020,June,50023,39894,10129,20.2,14.4
New Bedford,2020,July,49473,40569,8904,18.0,12.9
New Bedford,2020,August,49262,42062,7200,14.6,10.3
New Bedford,2020,September,48850,42044,6806,13.9,9.9
New Bedford,2020,October,48133,42920,5213,10.8,8.2
New Bedford,2020,November,47909,43073,4836,10.1,7.7
New Bedford,2020,December,47904,42908,4996,10.4,7.5
New Bedford,2020,Annual,48323,41658,6665,13.8,9.4